0	1
The next transmission could be more pronounced or stronger	Appeal_to_Authority
when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw	Appeal_to_Authority
appeared	Doubt
a very, very different	Repetition
He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak	Appeal_to_fear-prejudice
but warned that the danger was not over	Appeal_to_fear-prejudice
the magnitude in the next transmission could be higher	Appeal_to_fear-prejudice
it could even spill over into neighbouring countries and beyond	Appeal_to_fear-prejudice
Stop Islamization of America	Slogans
We condemn all those whose behaviours and views run counter to our shared values	Black-and-White_Fallacy
"Defeat Jihad"""	Slogans
"the nation that gave the world the Magna Carta is dead"""	Loaded_Language
"The UK should never become a stage for inflammatory speakers who promote hate."""	Flag-Waving
hate preachers	Name_Calling,Labeling
"delighted"" with the decision"	Loaded_Language
a striking blow against freedom	Loaded_Language
so-called land of democracy and freedom of speech	Name_Calling,Labeling
hair trigger in single-action mode	Loaded_Language
"sanctuary"" policy"	Name_Calling,Labeling
"politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents."""	Whataboutism,Straw_Men,Red_Herring
pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies	Causal_Oversimplification
"This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"""	Causal_Oversimplification
Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails	Causal_Oversimplification
a complete travesty of justice	Loaded_Language
"BUILD THE WALL!"""	Slogans
firestorm of outrage	Loaded_Language
alien	Loaded_Language
The Kate Steinle killer	Name_Calling,Labeling
they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country	Appeal_to_fear-prejudice
"aggressively stuck his tongue in my mouth"""	Loaded_Language
"wet, open-mouthed kiss"""	Loaded_Language
"Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described"	Appeal_to_Authority
"and squeezed ""at least twice"""	Loaded_Language
the delay signaled the White House was having second thoughts about the nomination	Causal_Oversimplification
Exploding in Trump’s Face	Loaded_Language
the biggest political gift possible	Exaggeration,Minimisation
complete hash	Loaded_Language
how badly Trump does his job	Doubt
reflected the reality-TV star’s weakness as a presidential candidate	Doubt
reality-TV star’s	Name_Calling,Labeling
Trump is easily manipulated by those around him	Doubt
cut-of-his-jib test	Loaded_Language
severe trouble	Loaded_Language
Trump hasn’t learned it yet	Doubt
extremely high-profile episode	Exaggeration,Minimisation
Trump and his White House staff failed to do their jobs	Doubt
a slur on all women	Loaded_Language
a gang that can’t shoot straight	Name_Calling,Labeling
ugly ways	Loaded_Language
As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president	Appeal_to_Authority
cut-of-his-jib test	Loaded_Language
someone who hires based on what he thinks someone doing that job should look like	Causal_Oversimplification
hazy old-time Hollywood casting	Loaded_Language
bombshells	Loaded_Language
partisan, conservative judges	Name_Calling,Labeling
hypocritical	Loaded_Language
has blasted	Loaded_Language
are blasting	Loaded_Language
a President who cares about nothing about the country and everything about his narrow self-interest	Name_Calling,Labeling
sheer number	Exaggeration,Minimisation
Agencies scramble	Loaded_Language
were scrambling	Loaded_Language
has hamstrung the administration for more than 18 months	Loaded_Language
disgraced former FBI officials	Name_Calling,Labeling
fired FBI Special Agent	Name_Calling,Labeling
are touting the president’s order	Loaded_Language
Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative	Causal_Oversimplification
a red line that must not be crossed	Loaded_Language
This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest	Doubt
a partisan memo	Name_Calling,Labeling
clear abuse of power	Name_Calling,Labeling
unprecedented	Loaded_Language
surreal	Loaded_Language
culminated	Loaded_Language
fulsome	Loaded_Language
triumphant	Loaded_Language
extraordinary	Loaded_Language
rogue kingdom	Name_Calling,Labeling
despotic leader	Name_Calling,Labeling
dramatic	Loaded_Language
forever	Exaggeration,Minimisation
Trump's gut-driven, norm-shattering tenure	Name_Calling,Labeling
People are going to be very impressed	Black-and-White_Fallacy
unwavering	Loaded_Language
brutal dictator	Name_Calling,Labeling
unthinkable	Loaded_Language
acrimonious	Loaded_Language
big problem	Loaded_Language
big dilemma	Loaded_Language
Working together, we'll get it taken care of	Slogans
increasing the drama	Loaded_Language
historic	Loaded_Language
surreality	Loaded_Language
hailed	Loaded_Language
historic	Repetition
very talented man	Name_Calling,Labeling
brutal	Loaded_Language
praising	Loaded_Language
very talented	Repetition
brutal dictator	Repetition
striking	Loaded_Language
fierce criticism	Loaded_Language
fearsome renegade	Loaded_Language
"""absolutely"""	Loaded_Language
heralded a new era	Exaggeration,Minimisation
historic	Repetition
The world	Exaggeration,Minimisation
our soldiers	Flag-Waving
our soldiers	Repetition
commanding leader	Name_Calling,Labeling
world-altering	Exaggeration,Minimisation
futuristic	Name_Calling,Labeling
dictator	Repetition
foundation of lies	Loaded_Language
huge	Loaded_Language
beneficial	Name_Calling,Labeling
a good thing	Name_Calling,Labeling
Bypassing the class left her vulnerable to bullying	Black-and-White_Fallacy
“You don’t need to be reading this. You need to be reading the Bible.”	Black-and-White_Fallacy
going to hell	Appeal_to_fear-prejudice
strongly	Loaded_Language
pretty clear	Loaded_Language
You are not a Christian	Name_Calling,Labeling
(Faber was nominated by President George H.W. Bush.)	Whataboutism,Straw_Men,Red_Herring
very, very	Loaded_Language
extremely	Loaded_Language
liberty of conscience is not up for a vote	Slogans
If you die tonight. Heaven or Hell?	Black-and-White_Fallacy
ominous encroachment	Loaded_Language
grandstanding	Loaded_Language
behave or else	Black-and-White_Fallacy
ballooned	Loaded_Language
testy	Loaded_Language
ire	Loaded_Language
insults	Loaded_Language
overly aggressive	Loaded_Language
devoted news consumer	Name_Calling,Labeling
severe	Loaded_Language
flouts	Loaded_Language
totally false and deliberately libelous	Name_Calling,Labeling
willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange	Exaggeration,Minimisation
I have never	Repetition
government-aligned cyberspies	Name_Calling,Labeling
Adolf Hitler as “a very great man	Bandwagon,Reductio_ad_hitlerum
condemn	Repetition
filth and degenerate behavior	Loaded_Language
Jews were “responsible for all of this filth and degenerate behavior that Hollywood is putting out turning men into women and women into men	Causal_Oversimplification
fervently	Loaded_Language
condemn	Loaded_Language
Edward E. Curtis IV, the author of “Black Muslim Religion in the Nation of Islam,” said that while estimates ranged wildly about how many bona fide members belonged to the Nation, he believes that there were tens of thousands of members in the 1960s and early 1970s. But he said that millions of others sympathized with the movement’s anticolonial stance and were inspired by its most famous member, Muhammad Ali	Appeal_to_Authority
the white man” as “the white devil	Name_Calling,Labeling
outspokenly and flagrantly anti-Zionist	Loaded_Language
his 1984 description of Adolf Hitler as “a very great man	Exaggeration,Minimisation
to condemn	Loaded_Language
make me shudder	Loaded_Language
harmful and divisive views	Loaded_Language
an “outstanding human being	Exaggeration,Minimisation
wildly	Loaded_Language
Why were Tamika Mallory and Danny Davis reluctant to denounce him	Doubt
monthlong backlash	Loaded_Language
stamped out	Loaded_Language
This is the new Sweden; the new, exciting dynamic, multicultural paradise that so many here in this assembly ... have fought to create for so many years	Flag-Waving
poison pill	Loaded_Language
the worst school shootings in US history	Exaggeration,Minimisation
hailed	Loaded_Language
for “certain” public adulterers	Loaded_Language
cunning ecclesiastical politician	Loaded_Language
All of the critics of AL are wrong—every one of them!—because, you see, the original Latin text does not say what the English text does	Causal_Oversimplification
And that is exactly the nonsense Fastiggi and Goldstein expect us to swallow	Loaded_Language
our intrepid presenters	Name_Calling,Labeling
all those ignorant critics of AL	Name_Calling,Labeling
all the tumult triggered by AL is just a misunderstanding caused by uninformed people who haven’t consulted the Latin text—	Causal_Oversimplification
those ignorant Vatican translators	Name_Calling,Labeling
But such embarrassing truths need not impede the Bergoglian Mercy Train as it barrels toward a train wreck at the end of the line	Loaded_Language
Our dynamic translators	Name_Calling,Labeling
synodal charade	Loaded_Language
In a sense, what Bergoglio is doing is worse than explicit heresy	Appeal_to_fear-prejudice
the humble apostle of mercy depicted in his carefully crafted public relations narrative, but rather a cunning ecclesiastical politician, constantly plotting and scheming to get what he wants	Name_Calling,Labeling
the grim reality of this unprecedented pontificate	Loaded_Language
the old reliable “mistranslation	Loaded_Language
But wait, there’s more	Thought-terminating_Cliches
reckless appeasement	Loaded_Language
disastrous	Loaded_Language
“It’s a new monster.”	Loaded_Language
milquetoast	Loaded_Language
Barack Obama's reckless appeasement of the Iranian regime has enabled its rise as a hegemonic threat	Causal_Oversimplification
turned his back on millions of dissidents	Exaggeration,Minimisation
giving rise to ISIS’s re-emergence in Iraq	Causal_Oversimplification
turning Iraq into a virtual vassal state of the largest state sponsor of terrorism	Exaggeration,Minimisation
legitimized Iran's path to eventually becoming a nuclear-armed state	Causal_Oversimplification
American blood	Flag-Waving
could actually accelerate the cycle of violence and perpetuate conflict rather than get us to a sustainable outcome	Appeal_to_fear-prejudice
Whether the Trump administration follows through remains to be seen	Doubt
virtual vassal	Loaded_Language
Paddock could not have carried out the massacre	Black-and-White_Fallacy
I’m not a big conspiracy theory guy, but it don’t sit right	Thought-terminating_Cliches
Paddock’s body may have been left in the hotel room while other assailants carried out the shooting	Doubt
